Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Restaurant/Cafe in Pimpri Colony, Pune for Rent","Sant Tukaram Nagar, near Dr. D. Y. Patil Medical College, Hospital & Research Centre","9,000 +No Extra Maintenance","18,000",80 sqft 112.50 per Sq.Ft.,Restaurant/Cafe,NoneParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Phase 2, near madhura cafe",1.5 LacsNo Extra Maintenance,10 Lacs,"3,500 sqft 42.86 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Restaurant/Cafe in Pimpri-chinchwad, Pune for Rent","Old Pune-Mumbai highway, Vishal Cinemaas",2 LacsNo Extra Maintenance,15 Lacs,"5,000 sqft 40.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Charholi Budruk, Pune for Rent","Pune - Alandi Rd, Near Chandraphool Lawns",1 LacNo Extra Maintenance,3 Lacs,"5,000 sqft 20.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Kokane Chowk, Pune for Rent","Linear garden, Pk chowk",1.5 LacsNo Extra Maintenance,7.5 Lacs,"1,500 sqft 100.00 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Rahatani, Pune for Rent","laxmi bhakti society, siddhivinayak wind chime","18,000 +900Maintenance","50,000",456 sqft 39.47 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimple Gurav, Pune for Rent","brts road , near kalpataru Society ","18,000 +500Maintenance","50,000",950 sqft 18.95 per Sq.Ft.,Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Tathwade Road, Pune for Rent","rutej, bridge ","40,000 +3,000Maintenance",2 Lacs,"1,200 sqft 33.33 per Sq.Ft.",Restaurant/Cafe,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Carnival Spine City Moshi, Pune for Rent","Privia Square, spine city chawk near bhosari pune",3 LacsNo Extra Maintenance,8 Lacs,"3,500 sqft 85.71 per Sq.Ft.",Restaurant/Cafe,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi , Pune for Rent","Laxmi Chowk Rd, Phase 1,, near Joshi wadewale hotel shambhu","99,000No Extra Maintenance",5 Lacs,"2,000 sqft 49.50 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Phase II,, gera imperium rise",2.64 LacsNo Extra Maintenance,2.64 Lacs,"2,956 sqft 89.31 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjewadi, Pune for Rent","Hinjawadi Rd,, Near Thikana Bar","40,000No Extra Maintenance","60,000",300 sqft 133.33 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in  Chikhali, Pune for Rent","Chikhali Akurdi Rd, Nair Colony, Sector No. 19, Saibaba Mandir","35,000No Extra Maintenance",2 Lacs,500 sqft 70.00 per Sq.Ft.,Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Old Mundwa, Pune for Rent","old mudwa road , Krishna Constructions -Lotus Court","85,000No Extra Maintenance",2.5 Lacs,"1,000 sqft 85.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjawadi Village, Hinjawadi, Pune for Rent","Hinjawadi - Wakad Rd, , Vicky's Pizzeria","30,000No Extra Maintenance",2 Lacs,800 sqft 37.50 per Sq.Ft.,Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimpri-chinchwad, Pune for Rent","Nigdi Bhosari Rd, Near Thermax Limited, Chemical Division.","65,000No Extra Maintenance",4 Lacs,833 sqft 78.03 per Sq.Ft.,Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Pimple Saudagar, Pune for Rent","Kunal Icon Rd, PCMC play ground, Vision Flora","40,000No Extra Maintenance",1 Lac,686 sqft 58.31 per Sq.Ft.,Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Nigdi, Pune for Rent","Kohinoor Building, Chowk, Tilak Rd,, near Pradeep Sweets Nigdi",1 LacNo Extra Maintenance,8 Lacs,"2,700 sqft 37.04 per Sq.Ft.",Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Ravet, Pune for Rent","panchvati society, near sonigira presidency ","30,000No Extra Maintenance",1.5 Lacs,"1,500 sqft 20.00 per Sq.Ft.",Restaurant/Cafe,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Bhosari, Pune for Rent","Pune - Nashik Hwy, IndianOil",1.5 LacsNo Extra Maintenance,5 Lacs,"4,350 sqft 34.48 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Wadgaon Sheri, Pune for Rent","Adarsh Nagar, , St. Arnold's Central School","50,000No Extra Maintenance",1.5 Lacs,"1,200 sqft 41.67 per Sq.Ft.",Restaurant/Cafe,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
